dataset,dataset_name,openml_id,model,cp_method,alpha,target_coverage,empirical_coverage,avg_set_size,set_size_variance,class_cond_coverage_gap,point_accuracy,brier_score,ece,per_class_efficiency
blood,Blood Transfusion,1464,LightGBM,Mondrian,0.2,0.8,0.8733333333333333,1.42,0.24360000000000004,0.13291925465838506,0.76,0.34663457735068287,0.21256910543873087,"{0: 1.4173913043478261, 1: 1.4285714285714286}"
blood,Blood Transfusion,1464,LightGBM,Mondrian,0.15,0.85,0.8933333333333333,1.5533333333333332,0.2471555555555555,0.12173913043478257,0.76,0.34663457735068287,0.21256910543873087,"{0: 1.5478260869565217, 1: 1.5714285714285714}"
blood,Blood Transfusion,1464,LightGBM,Mondrian,0.1,0.9,0.92,1.6066666666666667,0.23862222222222224,0.08198757763975162,0.76,0.34663457735068287,0.21256910543873087,"{0: 1.6, 1: 1.6285714285714286}"
blood,Blood Transfusion,1464,LightGBM,Mondrian,0.05,0.95,0.9866666666666667,1.9333333333333333,0.06222222222222223,0.017391304347826098,0.76,0.34663457735068287,0.21256910543873087,"{0: 1.9565217391304348, 1: 1.8571428571428572}"
blood,Blood Transfusion,1464,LightGBM,Mondrian,0.01,0.99,0.9933333333333333,1.9533333333333334,0.04448888888888888,0.008695652173912993,0.76,0.34663457735068287,0.21256910543873087,"{0: 1.9652173913043478, 1: 1.9142857142857144}"
blood,Blood Transfusion,1464,LightGBM,APS,0.2,0.8,1.0,2.0,0.0,0.0,0.76,0.34663457735068287,0.21256910543873087,"{0: 2.0, 1: 2.0}"
blood,Blood Transfusion,1464,LightGBM,APS,0.15,0.85,1.0,2.0,0.0,0.0,0.76,0.34663457735068287,0.21256910543873087,"{0: 2.0, 1: 2.0}"
blood,Blood Transfusion,1464,LightGBM,APS,0.1,0.9,1.0,2.0,0.0,0.0,0.76,0.34663457735068287,0.21256910543873087,"{0: 2.0, 1: 2.0}"
blood,Blood Transfusion,1464,LightGBM,APS,0.05,0.95,1.0,2.0,0.0,0.0,0.76,0.34663457735068287,0.21256910543873087,"{0: 2.0, 1: 2.0}"
blood,Blood Transfusion,1464,LightGBM,APS,0.01,0.99,1.0,2.0,0.0,0.0,0.76,0.34663457735068287,0.21256910543873087,"{0: 2.0, 1: 2.0}"
blood,Blood Transfusion,1464,SVM_RBF,Standard,0.2,0.8,0.7933333333333333,1.04,0.0384,0.8484472049689442,0.7666666666666667,0.3306770854077105,0.19706760652319247,"{0: 1.017391304347826, 1: 1.1142857142857143}"
blood,Blood Transfusion,1464,SVM_RBF,Standard,0.15,0.85,0.8466666666666667,1.1333333333333333,0.11555555555555552,0.6571428571428571,0.7666666666666667,0.3306770854077105,0.19706760652319247,"{0: 1.0782608695652174, 1: 1.3142857142857143}"
blood,Blood Transfusion,1464,SVM_RBF,Standard,0.1,0.9,0.9,1.2733333333333334,0.1986222222222222,0.4285714285714286,0.7666666666666667,0.3306770854077105,0.19706760652319247,"{0: 1.191304347826087, 1: 1.542857142857143}"
blood,Blood Transfusion,1464,SVM_RBF,Standard,0.05,0.95,0.9533333333333334,1.64,0.23040000000000002,0.19999999999999996,0.7666666666666667,0.3306770854077105,0.19706760652319247,"{0: 1.6, 1: 1.7714285714285714}"
blood,Blood Transfusion,1464,SVM_RBF,Standard,0.01,0.99,1.0,1.9933333333333334,0.0066222222222222194,0.0,0.7666666666666667,0.3306770854077105,0.19706760652319247,"{0: 2.0, 1: 1.9714285714285715}"
blood,Blood Transfusion,1464,SVM_RBF,ClassConditional,0.2,0.8,0.82,1.3066666666666666,0.21262222222222224,0.10062111801242235,0.7666666666666667,0.3306770854077105,0.19706760652319247,"{0: 1.3304347826086957, 1: 1.2285714285714286}"
blood,Blood Transfusion,1464,SVM_RBF,ClassConditional,0.15,0.85,0.8733333333333333,1.4733333333333334,0.24928888888888887,0.09565217391304348,0.7666666666666667,0.3306770854077105,0.19706760652319247,"{0: 1.4956521739130435, 1: 1.4}"
blood,Blood Transfusion,1464,SVM_RBF,ClassConditional,0.1,0.9,0.9666666666666667,1.8,0.16000000000000003,0.03105590062111807,0.7666666666666667,0.3306770854077105,0.19706760652319247,"{0: 1.8, 1: 1.8}"
